FileName,Altitude,FlightYaw,GimbalYaw,Longitude,Latitude
DJI_20210224094759_0001_W.JPG,50.022,0.4,-0.6,-71.54598564,41.47621117
DJI_20210224094805_0002_W.JPG,50.081,-0.7,-0.6,-71.54597272,41.47650814
DJI_20210224094811_0003_W.JPG,49.969,-0.3,-0.6,-71.54597217,41.47693247
DJI_20210224094817_0004_W.JPG,50.014,0,-0.6,-71.54597089,41.47737003
DJI_20210224094823_0005_W.JPG,50.02,-2,-0.6,-71.54597092,41.47776364
DJI_20210224094826_0006_W.JPG,50.026,59.9,4.8,-71.54596681,41.47781028
DJI_20210224094833_0007_W.JPG,49.951,63.5,58.9,-71.54556958,41.47793406
DJI_20210224094839_0008_W.JPG,49.996,110.4,58.9,-71.54519194,41.47806489
DJI_20210224094840_0009_W.JPG,50.045,176.8,162.5,-71.545205,41.47804733
DJI_20210224094846_0010_W.JPG,49.947,178.1,-181.7,-71.54521958,41.47774017
DJI_20210224094852_0011_W.JPG,50.001,178.8,-181.7,-71.54522092,41.47730983
DJI_20210224094858_0012_W.JPG,49.991,178.5,-181.7,-71.54522133,41.47688603
DJI_20210224094904_0013_W.JPG,49.979,178.6,-181.7,-71.54521903,41.47646886
DJI_20210224094910_0014_W.JPG,49.994,-179.8,-181.7,-71.54522047,41.47605789
DJI_20210224094913_0015_W.JPG,50.001,106.9,-187.8,-71.54521364,41.47600617
DJI_20210224094920_0016_W.JPG,49.988,103.9,107.4,-71.54482575,41.47595247
DJI_20210224094926_0017_W.JPG,49.99,76.5,107,-71.54443667,41.47588058
DJI_20210224094927_0018_W.JPG,50.011,-0.4,5.1,-71.54445325,41.47589719
DJI_20210224094933_0019_W.JPG,50.037,-0.3,-0.8,-71.54446469,41.47621389
DJI_20210224094939_0020_W.JPG,50.059,0,-0.8,-71.54446303,41.47662903
DJI_20210224094945_0021_W.JPG,50.058,0,-0.8,-71.54445922,41.47705164
DJI_20210224094951_0022_W.JPG,50.057,-0.6,-0.8,-71.54446283,41.47747569
DJI_20210224094957_0023_W.JPG,50.077,-1.9,-0.8,-71.54446322,41.47790364
DJI_20210224095001_0024_W.JPG,50.047,82.9,7.9,-71.54445731,41.47798761
DJI_20210224095007_0025_W.JPG,49.982,97.6,95.2,-71.54405631,41.47792275
DJI_20210224095013_0026_W.JPG,49.969,144.9,95.2,-71.54368319,41.47787658
DJI_20210224095015_0027_W.JPG,50.008,177.3,-183.2,-71.54369978,41.47786186
DJI_20210224095021_0028_W.JPG,49.952,178.4,-182.1,-71.54370969,41.47755389
DJI_20210224095027_0029_W.JPG,49.965,178.4,-182.1,-71.54371003,41.47713067
DJI_20210224095033_0030_W.JPG,49.956,178.4,-182.1,-71.54371039,41.47669967
DJI_20210224095038_0031_W.JPG,49.997,179,-182.1,-71.54371139,41.47627569
DJI_20210224095044_0032_W.JPG,50.038,179.9,-182.1,-71.543714,41.47585272
DJI_20210224095049_0033_W.JPG,49.889,94.5,165.9,-71.543704,41.47572114
DJI_20210224095056_0034_W.JPG,50.013,91,93.1,-71.54332022,41.47572656
DJI_20210224095101_0035_W.JPG,49.989,60.9,92.9,-71.54292517,41.47571544
DJI_20210224095103_0036_W.JPG,50.025,-0.2,0.7,-71.54294258,41.47573203
DJI_20210224095109_0037_W.JPG,50.019,-0.9,-0.5,-71.54295731,41.47603414
DJI_20210224095115_0038_W.JPG,50.049,-0.5,-0.5,-71.54295333,41.47646328
DJI_20210224095121_0039_W.JPG,50.026,-1,-0.5,-71.54295353,41.47688047
DJI_20210224095127_0040_W.JPG,50.003,-0.6,-0.5,-71.54295253,41.47730375
DJI_20210224095133_0041_W.JPG,50.069,-2.3,-0.5,-71.54295314,41.47772592
DJI_20210224095136_0042_W.JPG,50.008,78.7,7.8,-71.54294775,41.4778095
DJI_20210224095143_0043_W.JPG,50.033,109.9,108.6,-71.54257006,41.4776815
DJI_20210224095149_0044_W.JPG,50.006,124.4,108.6,-71.5421735,41.47756697
DJI_20210224095151_0045_W.JPG,50.022,177.8,-182.1,-71.54219175,41.47755258
DJI_20210224095157_0046_W.JPG,49.983,178.5,-181.8,-71.54220114,41.47725436
DJI_20210224095203_0047_W.JPG,49.959,178.6,-181.8,-71.54219878,41.47683278
DJI_20210224095207_0048_W.JPG,49.955,169.8,-181.8,-71.54220192,41.47668064
