"('1958', '03', '30')",-39.71636325613082
"('1958', '03', '31')",-39.47636325613087
"('1958', '04', '02')",-38.20636325613083
"('1958', '04', '03')",-38.11636325613085
"('1958', '04', '04')",-38.78636325613087
"('1958', '04', '05')",-38.49636325613085
"('1958', '04', '06')",-38.07636325613083
"('1958', '04', '08')",-39.06636325613084
"('1958', '04', '10')",-39.31636325613084
"('1958', '04', '11')",-39.03636325613087
"('1958', '04', '13')",-37.48636325613086
"('1958', '04', '14')",-37.46636325613082
"('1958', '04', '17')",-38.136363256130835
"('1958', '04', '18')",-38.07636325613083
"('1958', '04', '20')",-39.35636325613086
"('1958', '04', '21')",-38.81636325613084
"('1958', '04', '22')",-38.626363256130844
"('1958', '04', '23')",-39.11636325613085
"('1958', '05', '02')",-39.03636325613087
"('1958', '05', '03')",-39.47636325613087
"('1958', '05', '04')",-39.11636325613085
"('1958', '05', '05')",-38.186363256130846
"('1958', '05', '06')",-38.03636325613087
"('1958', '05', '20')",-38.176363256130855
"('1958', '05', '21')",-37.896363256130826
"('1958', '05', '22')",-37.78636325613087
"('1958', '05', '23')",-37.936363256130846
"('1958', '07', '08')",-40.03636325613087
"('1958', '07', '14')",-39.65636325613082
"('1958', '07', '15')",-39.44636325613084
"('1958', '07', '16')",-41.32636325613083
"('1958', '07', '17')",-41.31636325613084
"('1958', '07', '19')",-40.376363256130844
"('1958', '07', '20')",-39.836363256130824
"('1958', '07', '23')",-39.97636325613087
"('1958', '07', '24')",-39.78636325613087
"('1958', '07', '26')",-40.626363256130844
"('1958', '07', '27')",-40.26636325613083
"('1958', '07', '28')",-40.376363256130844
"('1958', '07', '30')",-40.136363256130835
"('1958', '07', '31')",-40.11636325613085
"('1958', '08', '04')",-40.586363256130824
"('1958', '08', '05')",-40.386363256130835
"('1958', '08', '06')",-40.336363256130824
"('1958', '08', '07')",-41.09636325613087
"('1958', '08', '10')",-41.416363256130865
"('1958', '08', '11')",-41.27636325613082
"('1958', '08', '12')",-40.886363256130835
"('1958', '08', '13')",-41.05636325613085
"('1958', '08', '14')",-40.79636325613086
"('1958', '08', '15')",-40.60636325613086
"('1958', '09', '01')",-41.60636325613086
"('1958', '09', '02')",-42.84636325613087
"('1958', '11', '07')",-42.55636325613085
"('1958', '11', '08')",-42.55636325613085
"('1958', '11', '09')",-42.72636325613087
"('1958', '11', '12')",-42.396363256130826
"('1958', '11', '13')",-42.76636325613083
"('1958', '11', '14')",-42.80636325613085
"('1958', '11', '15')",-42.56636325613084
"('1958', '11', '16')",-42.416363256130865
"('1958', '11', '17')",-42.52636325613082
"('1958', '11', '18')",-42.436363256130846
"('1958', '11', '19')",-42.73636325613086
"('1958', '11', '20')",-42.70636325613083
"('1958', '11', '21')",-41.95636325613083
"('1958', '11', '22')",-42.166363256130865
"('1958', '11', '23')",-41.86636325613085
"('1958', '11', '24')",-41.896363256130826
"('1958', '11', '26')",-41.47636325613087
"('1958', '11', '27')",-41.96636325613082
"('1958', '11', '28')",-41.61636325613085
"('1958', '11', '29')",-42.136363256130835
"('1958', '11', '30')",-42.03636325613087
"('1958', '12', '01')",-41.57636325613083
"('1958', '12', '02')",-41.65636325613082
"('1958', '12', '03')",-41.44636325613084
"('1958', '12', '04')",-41.436363256130846
"('1958', '12', '05')",-41.32636325613083
"('1958', '12', '06')",-41.636363256130835
"('1958', '12', '07')",-41.03636325613087
"('1958', '12', '08')",-41.25636325613084
"('1958', '12', '09')",-41.51636325613083
"('1958', '12', '10')",-42.01636325613083
"('1958', '12', '11')",-41.586363256130824
"('1958', '12', '12')",-41.34636325613087
"('1958', '12', '13')",-41.35636325613086
"('1958', '12', '14')",-41.20636325613083
"('1958', '12', '15')",-41.19636325613084
"('1958', '12', '16')",-41.54636325613086
"('1958', '12', '17')",-41.34636325613087
"('1958', '12', '18')",-40.79636325613086
"('1958', '12', '19')",-41.086363256130824
"('1958', '12', '20')",-40.86636325613085
"('1958', '12', '21')",-40.96636325613082
"('1958', '12', '22')",-41.11636325613085
"('1958', '12', '23')",-41.01636325613083
"('1958', '12', '24')",-40.77636325613082
"('1958', '12', '25')",-40.76636325613083
"('1958', '12', '26')",-40.29636325613086
"('1958', '12', '27')",-40.31636325613084
"('1958', '12', '29')",-40.836363256130824
"('1958', '12', '30')",-40.61636325613085
"('1958', '12', '31')",-40.436363256130846
"('1959', '01', '01')",-40.646363256130826
"('1959', '01', '04')",-40.53636325613087
"('1959', '01', '05')",-40.85636325613086
"('1959', '01', '06')",-40.29636325613086
"('1959', '01', '07')",-40.73636325613086
"('1959', '01', '08')",-40.44636325613084
"('1959', '01', '09')",-40.176363256130855
"('1959', '01', '10')",-40.29636325613086
"('1959', '01', '11')",-40.19636325613084
"('1959', '01', '12')",-40.35636325613086
"('1959', '01', '13')",-40.59636325613087
"('1959', '01', '14')",-39.97636325613087
"('1959', '01', '15')",-39.70636325613083
"('1959', '01', '16')",-39.84636325613087
"('1959', '01', '17')",-40.32636325613083
"('1959', '01', '18')",-40.436363256130846
"('1959', '01', '19')",-40.836363256130824
"('1959', '01', '20')",-40.186363256130846
"('1959', '01', '21')",-40.10636325613086
"('1959', '01', '22')",-39.99636325613085
"('1959', '01', '23')",-40.28636325613087
"('1959', '01', '24')",-39.86636325613085
"('1959', '01', '25')",-40.01636325613083
"('1959', '01', '26')",-40.07636325613083
"('1959', '01', '28')",-40.46636325613082
"('1959', '01', '29')",-40.31636325613084
"('1959', '02', '17')",-38.936363256130846
"('1959', '02', '18')",-39.146363256130826
"('1959', '02', '19')",-39.45636325613083
